Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile
1.,Alba,12284,37,1.8
2.,Arad,14054,70,1.37
3.,Arges,18653,83,1.86
4.,Bacau,16373,74,1.37
5.,Bihor,17769,80,1.88
6.,Bistrita-Nasaud,7393,58,1.63
7.,Botosani,8256,36,1.5
8.,Brasov,25325,129,2.8
9.,Braila,8263,39,2.43
10.,Buzau,8290,56,1.06
11.,Caras-Severin,6424,44,1.71
12.,Calarasi,6316,41,1.42
13.,Cluj,29797,98,3.16
14.,Constanta,26269,144,2.89
15.,Covasna,5044,22,0.85
16.,Dambovita,14688,40,1.51
17.,Dolj,15238,112,1.28
18.,Galati,15951,71,2.09
19.,Giurgiu,6302,4,1.73
20.,Gorj,5067,16,0.58
21.,Harghita,5330,14,0.41
22.,Hunedoara,11718,128,1.38
23.,Ialomita,6773,33,2.01
24.,Iasi,27361,238,1.02
25.,Ilfov,24065,206,4.65
26.,Maramures,10654,52,1.51
27.,Mehedinti,5016,23,1.27
28.,Mures,15084,54,1.37
29.,Neamt,11064,120,1.04
30.,Olt,9455,46,0.77
31.,Prahova,24009,85,1.53
32.,Satu Mare,7033,39,1.07
33.,Salaj,6223,49,1.01
34.,Sibiu,17014,84,1.52
35.,Suceava,15726,50,1.17
36.,Teleorman,7755,81,2.16
37.,Timis,26098,182,3.36
38.,Tulcea,5395,45,1.6
39.,Vaslui,10392,57,1.78
40.,Valcea,9856,67,1.37
41.,Vrancea,7111,17,0.69
42.,Mun. Bucuresti,101489,435,3.85
43.,Cazuri noi nealocate pe judete,3824*,579, 
1.,Alba,12319,35,1.75
2.,Arad,14089,35,1.4
3.,Arges,18655,2,1.67
4.,Bacau,16443,70,1.32
5.,Bihor,17807,38,1.76
6.,Bistrita-Nasaud,7395,2,1.47
7.,Botosani,8291,35,1.43
8.,Brasov,25416,91,2.61
9.,Braila,8279,16,2.28
10.,Buzau,8297,7,1.00
11.,Caras-Severin,6426,2,1.58
12.,Calarasi,6351,35,1.42
13.,Cluj,29897,100,2.98
14.,Constanta,26337,68,2.81
15.,Covasna,5046,2,0.79
16.,Dambovita,14721,33,1.49
17.,Dolj,15320,82,1.31
18.,Galati,16068,117,1.91
19.,Giurgiu,6341,39,1.73
20.,Gorj,5078,11,0.56
21.,Harghita,5333,3,0.4
22.,Hunedoara,11739,21,1.51
23.,Ialomita,6805,32,1.82
24.,Iasi,27437,76,1.14
25.,Ilfov,24288,223,4.24
26.,Maramures,10765,111,1.6
27.,Mehedinti,5024,8,1.22
28.,Mures,15108,24,1.26
29.,Neamt,11064,–,0.96
30.,Olt,9484,29,0.72
31.,Prahova,24057,48,1.37
32.,Satu Mare,7033,–,1.08
33.,Salaj,6245,22,1.01
34.,Sibiu,17053,39,1.52
35.,Suceava,15792,66,1.19
36.,Teleorman,7757,2,1.93
37.,Timis,26104,6,3.08
38.,Tulcea,5418,23,1.56
39.,Vaslui,10429,37,1.69
40.,Valcea,9907,51,1.37
41.,Vrancea,7111,–,0.6
42.,Mun. Bucuresti,101583,94,3.47
43.,Cazuri noi nealocate pe judete,3283*,-541, 
1.,Alba,12392,55,1.74
2.,Arad,14156,41,1.36
3.,Arges,18778,109,1.59
4.,Bacau,16534,60,1.25
5.,Bihor,17912,86,1.7
6.,Bistrita-Nasaud,7447,3,1.51
7.,Botosani,8358,35,1.44
8.,Brasov,25515,35,2.48
9.,Braila,8340,18,2.07
10.,Buzau,8337,20,0.93
11.,Caras-Severin,6513,43,1.6
12.,Calarasi,6383,20,1.31
13.,Cluj,30244,183,2.94
14.,Constanta,26621,143,2.75
15.,Covasna,5056,5,0.73
16.,Dambovita,14892,42,1.46
